12.1%, 55+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs
5.1%, 99+ AQs+ AQo+
5.6%, 88+ AQs+ AQo+
5.6%, 88+ AQs+ AQo+
5.9%, 88+ AJs+ AQo+
6.3%, 77+ AJs+ AQo+
14.9%, 44+ A8s+ A5s AJo+ K9s+ KJo+ Q9s+ J9s+ T9s
6.1%, 88+ AJs+ AQo+
7.0%, 77+ AJs+ AJo+
7.8%, 77+ ATs+ AJo+ KQs
8.3%, 66+ ATs+ AJo+ KQs
20.1%, 22+ A2s+ ATo+ K8s+ KJo+ Q9s+ QJo J8s+ T8s+ 98s
8.8%, 66+ ATs+ ATo+ KQs
10.0%, 55+ A9s+ ATo+ KQs
11.5%, 55+ A8s+ ATo+ KJs+ KQo
29.6%, 22+ A2s+ A4o+ K7s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s
14.3%, 44+ A7s+ A8o+ KTs+ KQo
17.2%, 33+ A4s+ A8o+ KTs+ KJo+ QJs
48.4%, 22+ Ax K2s+ K5o+ Q4s+ Q9o+ J5s+ J9o+ T6s+ T8o+ 95s+ 98o 85s+ 87o 75s+ 64s+ 54s
29.0%, 22+ Ax K6s+ K9o+ Q9s+ QTo+ JTs
12.5%, 55+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs T9s
5.8%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
6.7%, 77+ AJs+ AQo+
15.6%, 33+ A8s+ A5s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s
7.1%, 77+ AJs+ AJo+
7.3%, 77+ AJs+ AJo+
8.3%, 66+ ATs+ AJo+ KQs
8.3%, 66+ ATs+ AJo+ KQs
21.4%, 22+ A2s+ A9o+ K8s+ KJo+ Q8s+ QJo J8s+ T8s+ 98s
9.5%, 66+ A9s+ ATo+ KQs
10.0%, 55+ A9s+ ATo+ KQs
12.6%, 44+ A8s+ A9o+ KJs+ KQo
30.4%, 22+ A2s+ A4o+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 87s 76s
14.5%, 44+ A6s+ A8o+ KTs+ KQo
18.1%, 33+ A3s+ A7o+ KTs+ KJo+ QJs
50.1%, 22+ Ax K2s+ K5o+ Q3s+ Q9o+ J4s+ J8o+ T6s+ T8o+ 95s+ 98o 85s+ 87o 74s+ 64s+ 53s+
30.1%, 22+ Ax K6s+ K8o+ Q9s+ QTo+ JTs
13.4%, 44+ A8s+ A5s AJo+ K9s+ KQo QTs+ J9s+ T9s
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
