26.3%, 55+ Ax KTs+ KTo+ QTs+ QTo+
10.1%, 55+ ATs+ AJo+ KTs+ QTs+ JTs
11.5%, 55+ ATs+ AJo+ KTs+ KQo QTs+ JTs T9s
12.4%, 44+ ATs+ AJo+ KTs+ KQo QTs+ J9s+ T9s
15.1%, 22+ A7s+ A5s ATo+ KTs+ KQo QTs+ J9s+ T9s
18.7%, 22+ A2s+ A9o+ K9s+ KJo+ Q9s+ J9s+ T9s 98s
7.6%, 77+ ATs+ AJo+ KQs
8.4%, 66+ ATs+ AJo+ KQs
9.4%, 66+ A9s+ ATo+ KQs
11.5%, 55+ A8s+ ATo+ KJs+ KQo
13.1%, 55+ A7s+ A5s A9o+ KJs+ KQo
30.5%, 44+ Ax K9s+ K9o+ Q9s+ Q9o+ J9s+ J9o+
13.3%, 44+ A9s+ AJo+ K9s+ KQo QTs+ J9s+ T9s
14.4%, 33+ A8s+ ATo+ K9s+ KQo QTs+ J9s+ T9s
17.9%, 22+ A4s+ A9o+ K9s+ KQo Q9s+ J9s+ T8s+ 98s
22.0%, 22+ A2s+ A8o+ K9s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s 87s
9.3%, 66+ A9s+ ATo+ KQs
10.7%, 55+ A9s+ ATo+ KJs+
12.5%, 44+ A8s+ ATo+ KJs+ KQo
15.1%, 44+ A5s+ A8o+ KTs+ KQo QJs
34.4%, 33+ Ax K8s+ K8o+ QJs Q9s-Q8s Q8o+ J9s+ J8o+ T9o
17.0%, 22+ A4s+ ATo+ K9s+ KQo Q9s+ J9s+ T9s 98s
21.4%, 22+ A2s+ A8o+ K9s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s 87s
26.1%, 22+ A2s+ A4o+ K9s+ KTo+ Q9s+ QJo J9s+ T8s+ 98s 87s 76s
12.6%, 44+ A7s+ ATo+ KJs+ KQo QJs
14.9%, 33+ A5s+ A9o+ KTs+ KQo QJs
17.7%, 33+ A3s+ A7o+ KTs+ KJo+ QJs
45.9%, 22+ Ax K5s+ K5o+ Q7s+ Q7o+ J7s+ J7o+ T7s+ T7o+
29.0%, 22+ A2s+ A3o+ K9s+ KTo+ Q8s+ QJo J8s+ JTo T8s+ 98s 87s
33.6%, 22+ Ax K5s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s 65s
20.3%, 22+ A2s+ A6o+ K9s+ KJo+ QTs+
25.3%, 22+ A2s+ A3o+ K8s+ KTo+ QTs+ QJo JTs
92.0%, 22+ 7x+ 63s+ 64o+ 54s 54o
57.6%, 22+ Kx+ Q2s+ Q7o+ J3s+ J8o+ T4s+ T8o+ 95s+ 97o+ 85s+ 87o 74s+ 76o 64s+ 53s+
