7.9%, TT+ 66 ATs+ A5s-A3s AQo+ KTs+ QJs
3.8%, TT+ AQs+ AKo
3.8%, TT+ AQs+ AKo
3.8%, TT+ AQs+ AKo
3.8%, TT+ AQs+ AKo
4.5%, TT+ AQs+ AQo+
10.7%, 55+ A9s+ A5s-A4s AJo+ KTs+ QTs+ JTs
4.5%, 99+ AQs+ AKo
5.0%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
5.6%, 88+ AQs+ AQo+
14.6%, 33+ A8s+ A5s AJo+ K9s+ KJo+ Q9s+ J9s+ T9s
5.9%, 88+ AJs+ AQo+
6.9%, 77+ ATs+ AQo+
7.9%, 77+ ATs+ AJo+ KQs
22.4%, 22+ A2s+ A9o+ K7s+ KJo+ Q8s+ QJo J8s+ JTo T8s+ 98s
10.0%, 55+ A9s+ ATo+ KQs
11.5%, 55+ A8s+ ATo+ KJs+ KQo
40.2%, 22+ Ax K4s+ K9o+ Q5s+ Q9o+ J7s+ J9o+ T6s+ T9o 96s+ 98o 86s+ 75s+ 65s 54s
21.7%, 33+ A2s+ A5o+ K9s+ KTo+ QTs+
8.8%, 99+ 66 ATs+ A5s-A3s AQo+ KTs+ QTs+
3.8%, TT+ AQs+ AKo
3.8%, TT+ AQs+ AKo
3.8%, TT+ AQs+ AKo
3.9%, TT+ AQs+ AKo
5.1%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
5.0%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
5.6%, 88+ AQs+ AQo+
5.6%, 88+ AQs+ AQo+
15.2%, 33+ A8s+ A5s AJo+ K9s+ KJo+ Q9s+ J9s+ T9s
6.3%, 88+ AJs+ AQo+
7.5%, 77+ ATs+ AJo+
8.3%, 66+ ATs+ AJo+ KQs
22.8%, 22+ A2s+ A9o+ K7s+ KJo+ Q8s+ QJo J8s+ JTo T8s+ 98s 87s
10.3%, 55+ A9s+ ATo+ KJs+
12.3%, 55+ A8s+ A9o+ KJs+ KQo
40.9%, 22+ Ax K2s+ K9o+ Q5s+ Q9o+ J7s+ J9o+ T6s+ T9o 96s+ 98o 86s+ 75s+ 65s 54s
22.6%, 33+ A2s+ A5o+ K9s+ KTo+ QTs+ QJo
9.3%, 88+ 66 ATs+ A5s-A3s AQo+ KTs+ QTs+ JTs
3.8%, TT+ AQs+ AKo
3.8%, TT+ AQs+ AKo
4.0%, 99+ AQs+ AKo
5.1%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
12.2%, 55+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs
5.1%, 99+ AQs+ AQo+
5.6%, 88+ AQs+ AQo+
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
16.3%, 33+ A7s+ A5s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s
7.3%, 77+ AJs+ AJo+
7.5%, 77+ ATs+ AJo+
8.3%, 66+ ATs+ AJo+ KQs
23.8%, 22+ A2s+ A8o+ K7s+ KJo+ Q8s+ QJo J8s+ JTo T8s+ 98s 87s
11.3%, 55+ A8s+ ATo+ KJs+ KQo
12.8%, 44+ A8s+ A9o+ KJs+ KQo
42.4%, 22+ Ax K2s+ K8o+ Q5s+ Q9o+ J6s+ J9o+ T6s+ T9o 96s+ 98o 85s+ 75s+ 65s 54s
23.8%, 33+ A2s+ A4o+ K9s+ KTo+ QTs+ QJo JTs
9.7%, 88+ 66 A9s+ A5s-A4s AQo+ KTs+ QTs+ JTs
3.8%, TT+ AQs+ AKo
4.3%, 99+ AQs+ AKo
4.7%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
5.2%, 99+ AQs+ AQo+
12.6%, 55+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs
5.7%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
6.5%, 77+ AJs+ AQo+
16.8%, 33+ A7s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s
7.5%, 77+ ATs+ AJo+
8.3%, 66+ ATs+ AJo+ KQs
9.0%, 66+ ATs+ ATo+ KQs
24.8%, 22+ A2s+ A7o+ K8s+ KJo+ Q8s+ QJo J8s+ JTo T8s+ 98s 87s
12.3%, 55+ A8s+ A9o+ KJs+ KQo
13.3%, 44+ A7s+ A9o+ KTs+ KQo
42.9%, 22+ Ax K2s+ K8o+ Q5s+ Q9o+ J6s+ J9o+ T6s+ T8o+ 96s+ 98o 85s+ 75s+ 65s 54s
24.9%, 33+ A2s+ A4o+ K8s+ K9o+ QTs+ QJo JTs
10.1%, 88+ 66 A9s+ A5s-A4s AJo+ KTs+ QTs+ JTs
4.3%, 99+ AQs+ AKo
4.7%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
5.9%, 88+ AJs+ AQo+
13.5%, 44+ A8s+ A5s AJo+ K9s+ KQo QTs+ J9s+ T9s
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
6.3%, 77+ AJs+ AQo+
7.6%, 77+ ATs+ AJo+
18.3%, 22+ A7s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s
7.9%, 77+ ATs+ AJo+ KQs
8.3%, 66+ ATs+ AJo+ KQs
10.3%, 55+ A9s+ ATo+ KQs
26.6%, 22+ A2s+ A7o+ A5o K9s+ KTo+ Q9s+ QTo+ J8s+ JTo T8s+ 98s 87s
12.4%, 55+ A8s+ A9o+ KJs+ KQo
15.0%, 44+ A5s+ A8o+ KTs+ KQo
44.5%, 22+ Ax K2s+ K7o+ Q4s+ Q9o+ J6s+ J9o+ T6s+ T8o+ 96s+ 98o 85s+ 75s+ 64s+ 54s
26.4%, 33+ A2s+ A3o+ K8s+ K9o+ Q9s+ QJo JTs
10.9%, 55+ A9s+ A5s AJo+ KTs+ QTs+ JTs
5.0%, 99+ AQs+ AQo+
5.1%, 99+ AQs+ AQo+
5.3%, 99+ AQs+ AQo+
5.6%, 88+ AQs+ AQo+
5.9%, 88+ AJs+ AQo+
14.1%, 44+ A8s+ A5s AJo+ K9s+ KQo Q9s+ J9s+ T9s
5.9%, 88+ AJs+ AQo+
5.9%, 88+ AJs+ AQo+
7.4%, 77+ ATs+ AJo+
8.2%, 66+ ATs+ AJo+ KQs
18.7%, 22+ A3s+ ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s
8.3%, 66+ ATs+ AJo+ KQs
9.5%, 66+ ATs+ ATo+ KQs
10.9%, 55+ A8s+ ATo+ KQs KQo
