10.1%, TT+ 77-66 A2s+ AJo+ KJs+
2.5%, QQ+ AKs AKo
2.6%, QQ+ AKs AKo
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
14.5%, TT+ 88-55 A2s+ ATo+ KTs+ KJo+ QTs+
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
3.7%, TT+ AQs+ AKo
3.8%, TT+ AQs+ AKo
21.2%, 22+ A2s+ ATo+ A5o K9s+ K7s-K5s KTo+ Q9s+ QJo JTs
3.8%, TT+ AQs+ AKo
4.0%, TT+ AQs+ AKo
5.4%, 99+ AJs+ AQo+
29.3%, 22+ A2s+ A8o+ A5o-A3o K2s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 98s
6.6%, 99+ ATs+ AJo+
7.1%, 88+ ATs+ AJo+
65.6%, 22+ Kx+ Q2s+ Q6o+ J2s+ J7o+ T2s+ T7o+ 92s+ 97o+ 84s+ 86o+ 73s+ 76o 63s+ 65o 52s+ 43s
14.4%, 66+ A7s+ A8o+ KTs+ KJo+
11.2%, TT+ 77-66 A2s+ AJo+ KJs+ KQo
2.6%, QQ+ AKs AKo
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
15.7%, 55+ A2s+ ATo+ A5o KTs+ KJo+ QTs+
3.0%, JJ+ AKs AKo
3.1%, JJ+ AKs AKo
3.8%, TT+ AQs+ AKo
4.0%, TT+ AQs+ AKo
21.4%, 22+ A2s+ ATo+ A5o K9s+ K7s-K5s KTo+ Q9s+ QJo J9s+
3.8%, TT+ AQs+ AKo
4.8%, 99+ AQs+ AQo+
5.4%, 99+ AJs+ AQo+
31.4%, 22+ A2s+ A8o+ A5o-A2o K2s+ KTo+ Q8s+ Q6s-Q5s QTo+ J8s+ JTo T8s+ 98s
6.8%, 99+ ATs+ AJo+
7.3%, 88+ ATs+ AJo+
68.8%, 22+ Kx+ Q2s+ Q5o+ J2s+ J7o+ T2s+ T6o+ 92s+ 96o+ 82s+ 86o+ 73s+ 76o 63s+ 65o 52s+ 42s+
15.0%, 66+ A5s+ A8o+ KTs+ KJo+
11.6%, TT+ 88-66 A2s+ AJo+ KJs+ KQo QJs
2.9%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
3.0%, JJ+ AKs AKo
3.3%, JJ+ AQs+ AKo
16.1%, 44+ A2s+ ATo+ A5o KTs+ KJo+ QTs+ JTs
3.0%, JJ+ AKs AKo
3.5%, TT+ AKs AKo
3.8%, TT+ AQs+ AKo
4.5%, TT+ AQs+ AQo+
23.8%, 22+ A2s+ A9o+ A5o-A4o K4s+ KTo+ Q9s+ QJo J9s+ T9s
3.8%, TT+ AQs+ AKo
5.4%, 99+ AJs+ AQo+
5.6%, 99+ AJs+ AQo+
31.1%, 22+ A2s+ A8o+ A5o-A2o K2s+ KTo+ Q8s+ Q6s-Q5s QTo+ J8s+ JTo T8s+ 98s
6.9%, 88+ ATs+ AJo+
8.0%, 88+ ATs+ ATo+
68.9%, 22+ Kx+ Q2s+ Q5o+ J2s+ J7o+ T2s+ T7o+ 92s+ 96o+ 82s+ 86o+ 73s+ 76o 62s+ 65o 52s+ 42s+
68.9%, 22+ Kx+ Q2s+ Q5o+ J2s+ J7o+ T2s+ T7o+ 92s+ 96o+ 82s+ 86o+ 73s+ 76o 62s+ 65o 52s+ 42s+
12.1%, TT+ 88-66 A2s+ AJo+ KTs+ KQo QJs
3.0%, JJ+ AKs AKo
